	Source file	DateTime	Date	Time	Duration(s)	Comments	Total points	Selection type	Components	Fe57_CPS	Fe57_CPS_Int2SE	Fe57_CPS_LOD	IntStdWv	IntStdWv_Int2SE	IntStdWv_LOD	Li_ppm_m7	Li_ppm_m7_Int2SE	Li_ppm_m7_LOD	Al_ppm_m27	Al_ppm_m27_Int2SE	Al_ppm_m27_LOD	Si_ppm_m29	Si_ppm_m29_Int2SE	Si_ppm_m29_LOD	P_ppm_m31	P_ppm_m31_Int2SE	P_ppm_m31_LOD	Ca_ppm_m44	Ca_ppm_m44_Int2SE	Ca_ppm_m44_LOD	Sc_ppm_m45	Sc_ppm_m45_Int2SE	Sc_ppm_m45_LOD	Ti_ppm_m49	Ti_ppm_m49_Int2SE	Ti_ppm_m49_LOD	V_ppm_m51	V_ppm_m51_Int2SE	V_ppm_m51_LOD	Cr_ppm_m52	Cr_ppm_m52_Int2SE	Cr_ppm_m52_LOD	Mn_ppm_m55	Mn_ppm_m55_Int2SE	Mn_ppm_m55_LOD	Co_ppm_m59	Co_ppm_m59_Int2SE	Co_ppm_m59_LOD	Ni_ppm_m60	Ni_ppm_m60_Int2SE	Ni_ppm_m60_LOD	Cu_ppm_m65	Cu_ppm_m65_Int2SE	Cu_ppm_m65_LOD	Zn_ppm_m66	Zn_ppm_m66_Int2SE	Zn_ppm_m66_LOD	Ga_ppm_m69	Ga_ppm_m69_Int2SE	Ga_ppm_m69_LOD	Ga_ppm_m71	Ga_ppm_m71_Int2SE	Ga_ppm_m71_LOD	Ge_ppm_m72	Ge_ppm_m72_Int2SE	Ge_ppm_m72_LOD	As_ppm_m75	As_ppm_m75_Int2SE	As_ppm_m75_LOD	m77__Cl_CPS	m77__Cl_CPS_Int2SE	m77__Cl_CPS_LOD	Se_ppm_m82	Se_ppm_m82_Int2SE	Se_ppm_m82_LOD	Kr83_CPS	Kr83_CPS_Int2SE	Kr83_CPS_LOD	Rb_ppm_m85	Rb_ppm_m85_Int2SE	Rb_ppm_m85_LOD	Sr_ppm_m88	Sr_ppm_m88_Int2SE	Sr_ppm_m88_LOD	Y_ppm_m89	Y_ppm_m89_Int2SE	Y_ppm_m89_LOD	Zr_ppm_m90	Zr_ppm_m90_Int2SE	Zr_ppm_m90_LOD	Nb_ppm_m93	Nb_ppm_m93_Int2SE	Nb_ppm_m93_LOD	Mo_ppm_m97	Mo_ppm_m97_Int2SE	Mo_ppm_m97_LOD	In_ppm_m113	In_ppm_m113_Int2SE	In_ppm_m113_LOD	Sn_ppm_m117	Sn_ppm_m117_Int2SE	Sn_ppm_m117_LOD	Sn_ppm_m119	Sn_ppm_m119_Int2SE	Sn_ppm_m119_LOD	Sb_ppm_m121	Sb_ppm_m121_Int2SE	Sb_ppm_m121_LOD	Cs_ppm_m133	Cs_ppm_m133_Int2SE	Cs_ppm_m133_LOD	Ba_ppm_m138	Ba_ppm_m138_Int2SE	Ba_ppm_m138_LOD	La_ppm_m139	La_ppm_m139_Int2SE	La_ppm_m139_LOD	Ce_ppm_m140	Ce_ppm_m140_Int2SE	Ce_ppm_m140_LOD	Nd_ppm_m146	Nd_ppm_m146_Int2SE	Nd_ppm_m146_LOD	Lu_ppm_m175	Lu_ppm_m175_Int2SE	Lu_ppm_m175_LOD	Hf_ppm_m179	Hf_ppm_m179_Int2SE	Hf_ppm_m179_LOD	Ta_ppm_m181	Ta_ppm_m181_Int2SE	Ta_ppm_m181_LOD	W_ppm_m182	W_ppm_m182_Int2SE	W_ppm_m182_LOD	W_ppm_m183	W_ppm_m183_Int2SE	W_ppm_m183_LOD	Tl_ppm_m205	Tl_ppm_m205_Int2SE	Tl_ppm_m205_LOD	Pb_ppm_m208	Pb_ppm_m208_Int2SE	Pb_ppm_m208_LOD	Bi_ppm_m209	Bi_ppm_m209_Int2SE	Bi_ppm_m209_LOD	Th_ppm_m232	Th_ppm_m232_Int2SE	Th_ppm_m232_LOD	U_ppm_m238	U_ppm_m238_Int2SE	U_ppm_m238_LOD
BT_11	Jason_cass_2	20/02/2018 (3) 12:08:00.00	20/02/2018 (3)	12:08:00.00	29.041	BT_main_11	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_12	Jason_cass_2	20/02/2018 (3) 12:09:10.14	20/02/2018 (3)	12:09:10.14	29.038	BT_main_12	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_13	Jason_cass_2	20/02/2018 (3) 12:12:40.76	20/02/2018 (3)	12:12:40.76	29.042	BT_main_13	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_14	Jason_cass_2	20/02/2018 (3) 12:13:50.91	20/02/2018 (3)	12:13:50.91	29.088	BT_main_14	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_15	Jason_cass_2	20/02/2018 (3) 12:15:01.15	20/02/2018 (3)	12:15:01.15	29.04	BT_main_15	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_16	Jason_cass_2	20/02/2018 (3) 12:16:11.29	20/02/2018 (3)	12:16:11.29	29.045	BT_main_16	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_17	Jason_cass_2	20/02/2018 (3) 12:17:21.69	20/02/2018 (3)	12:17:21.69	29.063	BT_main_17	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_18	Jason_cass_2	20/02/2018 (3) 12:18:31.85	20/02/2018 (3)	12:18:31.85	29.08	BT_main_18	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_19	Jason_cass_2	20/02/2018 (3) 12:22:02.40	20/02/2018 (3)	12:22:02.40	29.087	BT_main_19	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_20	Jason_cass_2	20/02/2018 (3) 12:23:12.60	20/02/2018 (3)	12:23:12.60	29.039	BT_main_20	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_21	Jason_cass_2	20/02/2018 (3) 12:24:22.74	20/02/2018 (3)	12:24:22.74	29.042	BT_main_21	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_22	Jason_cass_2	20/02/2018 (3) 12:25:32.89	20/02/2018 (3)	12:25:32.89	29.039	BT_main_22	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_23	Jason_cass_2	20/02/2018 (3) 12:26:43.03	20/02/2018 (3)	12:26:43.03	29.036	BT_main_23	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_24	Jason_cass_2	20/02/2018 (3) 12:27:53.42	20/02/2018 (3)	12:27:53.42	29.043	BT_main_24	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_25	Jason_cass_2	20/02/2018 (3) 12:31:24.01	20/02/2018 (3)	12:31:24.01	29.079	BT_main_25	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_26	Jason_cass_2	20/02/2018 (3) 12:32:34.29	20/02/2018 (3)	12:32:34.29	29.038	BT_main_26	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_27	Jason_cass_2	20/02/2018 (3) 12:33:44.43	20/02/2018 (3)	12:33:44.43	29.227	BT_main_27	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_28	Jason_cass_2	20/02/2018 (3) 12:34:54.77	20/02/2018 (3)	12:34:54.77	29.042	BT_main_28	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_29	Jason_cass_2	20/02/2018 (3) 12:36:05.21	20/02/2018 (3)	12:36:05.21	29.083	BT_main_29	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
BT_30	Jason_cass_2	20/02/2018 (3) 12:37:15.42	20/02/2018 (3)	12:37:15.42	29.178	BT_main_30	0	Normal	1	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN	no value	NAN	NaN
